,L1,L2,CM_candidates
1796,@PanduGadu_2_0 ఇన్ని రోజులు ట్రోల్ చేయకుండా ప్రశాంతంగా ఉన్నాడు  🤙 🤙,@PanduGadu_2_0 He was peaceful  without trolling for so many days 🤙 🤙,@PanduGadu_2_0 ఇన్ని days trolls చేయకుండ peaceful gaa ఉన్నాడు 🤙 🤙 
3028,ఇన్ని నెలల తర్వాత చూసిన తర్వాత కూడా 20 నిమిషాలు ఏడ్చాను నా ప్రేమికుడు గుర్తు చేసింది మీ నటన 🤐 చెప్పడానికి మాటలు లేవు,After seeing after these many months too It made me literally cry for 20 minutes It remined me of my lover Ur acting 🤐 no words to say,After seeing after these many months too It చేసింది me literally cry for 20 minutes It చేసింది me remember my lover Ur acting 🤐 no words to say
3058,@EstrellaDePoder నువ్వు సూచన ఇచ్చావ్ గా ఇక ప్రారంభం  చేస్తారు 😂,@EstrellaDePoder you gave a hint they will start now 😂 😂,@EstrellaDePoder Nv hint ఇచ్చావ్ gaa ఇక start చేస్తారు 😂 😂
3932,హాయ్ అన్న సూపర్ సినిమా. ❤️ ❤️ ❤ ️ ❤️ సినిమాలో నాని విలన్,Hii bro super movie . Nani is the villain in the movie ❤ ️ ❤ ️ ❤ ️ ❤ ️,Hii bro super movie . నాని is the villain in the movie ❤ ️ ❤ ️ ❤ ️ ❤ ️
3513,@Sharat1408 @Santhosh21_ECE @cheeku1696 మీరు సొసైటీ లోన్ సెట్ గా చేసారని నాకు హింట్ ఇచ్చావ్ గా 🤝,@Sharat1408 @Santhosh21_ECE @cheeku1696 you gave a hint that you set in the Society right 🤝,@Sharat1408 @Santhosh21_ECE @cheeku1696 Society lone set చేసా అని hint ఇచ్చావ్ ga 🤝
1297,@EcomradeKrishna 3d ప్రభావంతో చాలా బాగుంది వీడియో,@EcomradeKrishna very nice video with 3d effect,@EcomradeKrishna చాల బాగుండి video 3d effect తో
336,@Ustaadhpk @AlwaysRamCharan @MsKajalAggarwal చేత ట్వీట్ చేయకుండా నిద్రపో అన్న హ్యాపీ గా,@Ustaadhpk @AlwaysRamCharan @MsKajalAggarwal  go to sleep without tweeting badly bro happy gaa,@Ustaadhpk @AlwaysRamCharan @MsKajalAggarwal Cheta tweet వేయకుండా పడుకో bro happy gaa
2909,అయ్యో @#thyview కొడుకుకి చూడటానికి రాదు . సినిమా బ్లాక్ బస్టర్.,Ah @#thyview son can't watch. The movie is a blockbuster.,ఆహ్ @#thyview కొడుకుకి చూడటానికి రాదు . Movie ఇది blockbuster అంతె .
106,అన్న మాస్టర్ సమీక్ష. అయితే సినిమా చూస్తున్నాను 😁 . కానీ మీ సమీక్ష కోసం వేచి ఉంది 👍,Bro master review. however watching the movie 😁 . but waiting for ur review 👍,Bro master review . however movie చూస్తున 😁 . but waiting for ur review 👍
2416,నేను సిగ్గు లేకుండా త్రివి vs Ssr ఫైట్‌లో త్రివికి సపోర్ట్ చేసేవాడిని 🤦🏽‍♂️,I used to support Trivi in ​​Trivi vs Ssr fight without shame 🤦🏽‍♂️,సిగ్గూ లేకండా ఒకప్పుడు త్రివి vs Ssr fight లో త్రివి ని support చేసేవాడిని 🤦🏽‍♂️
2589,ఎంత బోరింగ్ వీక్ అన్న 😭 😭,What a boring week bro 😭 😭,ఎంక ఇ week boring ఇ bro 😭 😭
2654,అన్న నీ పెరూ చెప్పు అన్న నీ గొంతు సూపర్,Bro say you name bro your voice super,Bro nee పెరూ చెప్పు bro nee voice super
3898,అన్నా ఇది చాలా నిజమైన మరియు నిజమైన సమీక్ష,Bro this is most true and real review,అన్నా this is most true and real review
4577,సినిమా బాగుంది. వీడే చిన్నగా ఓవర్ చేస్తున్నాడు,Cinema is good. he is doing a little over,Cinima బాగనే ఉండి . వీడే చిన్నగా over చేస్తున్నాడు
1943,@rseefan_sk @alluarjun @actor_nithin అన్న చెంప సినిమా చాలా బాగుంది నితిన్ అన్న అల్ వెరీ బెస్ట్ ఐ లవ్ యూ అన్నా,@rseefan_sk @alluarjun @actor_nithin bro chempa movie very good nithin bro al very best i love you bro,@Rcfan_sk @alluarjun @actor_nithiin Bro చెంప movie చాల బాగండి nithin అన్న all very best i love you అన్న
2089,ఈ సినిమా ట్రైలర్ కంటే నీ వీడియో కి లైక్‌లు మరియు వీక్షణల  వస్తాయ్ అన్న 😂 😂,Than this movie trailer your videp will get likes and views  bro 😂 😂,ఇ movie trailer కన్నా ని video ki likes and views osthaiii bro 😂 😂
1511,"చిత్రం భగుండి ట్విస్ట్‌లు ఒక మోస్తరుగా ఉంటాయి, కానీ స్క్రీన్ ప్లే చాలా వేగంగా ఉన్నట్లు అనిపిస్తుంది, ఒకసారి చూడదగినది.","Movie is nice twists will be moderate, but screen play seems to be very fast, one time watchable thats it.","Movie భగుండి twists మిధా ఉంటుంది , but screen play చాల fast gaa ఉన్నట్టు అనిపిచింది , one time watchable thats it . "
298,అన్న సుశాంత్ సింగ్ రాజ్‌పుత్ చేయ్ మీద డాక్యుమెంటరీ చెయ్యి అన్న,Bro do a Documentary on Sushant Singh Rajput Chey Bro,Bro sushanth singh rajput మేడ documentary చెయ్ broo
619,@mdgouse13116 బూతులు లేకుండా సరళంగా గా ఇచ్చావ్,@mdgouse13116 gave a simply without cuss words,@mdgouse13116 బూతులు లేకండా simple gaa ఇచ్చావ్
1272,"అన్న, మీరు నాన్ స్పాయిలర్ అని చెప్పి పాడు చేసేసావ్","Bro, you spoiled it by saying non spoiler",Bro non spoiler అని చెపి మోతం spoil చేసేసావ్
2819,రొటీన్ రాడ్ అంటావ్ అంతేనా. 150 మిగిలి ఉంది 😊,Routine rodd antav antena. 150 left 😊,Routine rodd అంటవ్ అంతెనా . 150 మిగిలింది 😊
2967,@ViratianX చేతి రాత చాలా బాగుంది తమ్ముడు,@ViratianX Hand writing is very good brother,@ViratianX Hand writing చాల బాగుండి తమ్ముడు
4035,@Karthik71718132 చాలా వేగంగా ప్రత్యుత్తరం ఇచ్చావ్,@Karthik71718132 gave a very fast reply,@Karthik71718132 చాల fast ga reply ఇచ్చావ్
3126,నిజానికి మీరు బాగుంది సినిమా అన్నారు,"Actually, you said a movie is nice",అసలు a movie అగుంధి అన్నావు
3693,నువ్వు ఎవడ్రా పువ్వా రివ్యూ ఇవ్వడానికి,Who are you to give review,Nv ఎవడ్రా పువ్వ review ఇవ్వడానికి
2373,@BJPMadhukarAP మంచి పని మమత చెత్త శుభ్రం చేయడం ప్రారంభించారు,@BJPMadhukarAP Good job Mamata started cleaning thrash,@BJPMadhukarAP మంచిపని చేసారు మమత started cleaning thrash
2672,సాయి ధరమ్ తేజ్ మీద ఒక వీడియో చెయ్యి అన్న 🙏 🙏,Do one video on Sai dharam Tej  bro 🙏 🙏,Sai dharam Tej video ఒకటి చెయ్ bro 🙏 🙏
4848,Thyviewని తీసివేయండి. మీరు ఇంగ్లీష్ వ్యూ పెడితే బాగుంటుంది అన్న,Remove Thyview. It would be good if you put English view bro,Thyview remove చేసి . English view అని పెట్టు bro బాగుంటది
1397,#THYVIEW వేదం సినిమా ప్రదర్శన గురించి చెప్పండి అన్న,#THYVIEW Tell me about Vedam movie performance bro,#THYVIEW వేదం movie performance గురించీ చెప్పు bro
115,మీ సమీక్ష ఆశించినంతగా లేదు. .,Your reviews is not as expected. ,Expect చేసినట్టు లేడు mee review . .
